CAS,compound,SMILES,membrane_exp,storage_exp,albumin_exp,muscle_chicken_exp,muscle_fish_exp
33018-78-9,CF3CH2OCF2Cl,FC(F)(F)COC(F)(F)Cl,,2.73,,,
430-55-7,1-fluropropane,CCCF,,0.98,,,
67-72-1,Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,,3.71,,,
92-52-4,Biphenyl,c1ccc(-c2ccccc2)cc1,,4.14,,,
75995-72-1,"1,1,1,2,3,4,4,4-
Octafluorobutane",FC(C(F)C(F)(F)F)C(F)(F)F,,2.44,,,
544-76-3,hexadecane,CCCCCCCCCCCCCCCC,,9.88,,,
75-26-3,isopropyl bromide,CC(C)Br,,2.28,,,
375-17-7,"1,1,1,2,2,3,3,4,4-
nonafluorobutane",FC(F)C(F)(F)C(F)(F)C(F)(F)F,,2.82,,,
127-91-3,beta-pinene,C=C1CCC2CC1C2(C)C,,4.11,,,
5989-27-5,limonene,C=C(C)C1CC=C(C)CC1,,4.17,,,
593-53-3,Fluoromethane,CF,,0,,,
2825-83-4,"Tricyclo[5.2.1.0(2,6)]decane",C1CC2C3CCC(C3)C2C1,,4.62,,,
1634-04-4,Methyl tert-butyl ether,COC(C)(C)C,,0.89,,,
2551-62-4,Sulfur hexafluoride,FS(F)(F)(F)(F)F,,1.85,,,
1975.1.4,vinyl chloride,C=CCl,,1.58,,,
67-68-5,dimethyl sulfoxide,CS(C)=O,,-2.66,,,
64-18-6,formic acid,O=CO,,-1.69,,,
13466-78-9,3-carene,CC1=CCC2C(C1)C2(C)C,,4.71,,,
593-60-2,vinyl bromide,C=CBr,,1.34,,,
106-47-8,4-Chloroaniline,Nc1ccc(Cl)cc1,,,,1.19,
107-05-1,allyl chloride,C=CCCl,,1.84,,,
100-42-5,Styrene,C=Cc1ccccc1,,2.68,2.76,,
111-65-9,Octane,CCCCCCCC,4.67,5.27,4.01,,
108-43-0,3-Chlorophenol,Oc1cccc(Cl)c1,2.78,1.66,2.35,1.57,1.55
140-11-4,Benzyl acetate,CC(=O)OCc1ccccc1,,1.7,,,
90-15-3,1-Naphthol,Oc1cccc2ccccc12,,2.19,,,
106-41-2,4-bromophenol,Oc1ccc(Br)cc1,2.4,1.61,2.81,1.7,1.62
540-37-4,4-Iodoaniline,Nc1ccc(I)cc1,,,2.95,1.66,
91-66-7,"N,N-Diethylaniline",CCN(CC)c1ccccc1,,3.17,2.27,1.6,1.52
645-56-7,4-n-Propylphenol,CCCc1ccc(O)cc1,2.92,2.19,2.59,1.69,1.63
540-38-5,4-iodophenol,Oc1ccc(I)cc1,2.55,,3.41,1.93,1.84
99-65-0,"1,3-Dinitrobenzene",O=[N+]([O-])c1cccc([N+](=O)[O-])c1,,1.42,,,
120-12-7,Anthracene,c1ccc2cc3ccccc3cc2c1,5.21,4.83,,,
1985.1.8,Phenanthrene,c1ccc2c(c1)ccc1ccccc12,4.95,4.8,4.15,3.14,3.25
206-44-0,Fluoranthene,c1ccc2c(c1)-c1cccc3cccc-2c13,5.58,5.18,4.28,,
129-00-0,Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,5.71,5.26,4.76,3.67,3.76
86-73-7,Fluorene,c1ccc2c(c1)Cc1ccccc1-2,,4.39,,,
83-32-9,Acenaphthene,c1cc2c3c(cccc3c1)CC2,,3.97,,,
628-71-7,1-heptyne,C#CCCCCC,,,2.49,1.75,1.62
75-25-2,tribromomethane,BrC(Br)Br,2.33,,1.95,,
58-89-9,γ-hexachlorocyclohexane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,,,2.46,,
693-54-9,2-decanone,CCCCCCCCC(C)=O,3.16,,2.88,2.11,1.96
629-37-8,1-nitrooctane,CCCCCCCC[N+](=O)[O-],,,3.38,,
126-73-8,tri-n-butyl phosphate,CCCCOP(=O)(OCCCC)OCCCC,,,2.47,1.69,1.83
106-37-6,"1,4-dibromobenzene",Brc1ccc(Br)cc1,4.3,,3.97,2.18,2.28
634-66-2,"1,2,3,4-tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,,,4.21,2.8,2.86
95-13-6,indene,C1=Cc2ccccc2C1,,,2.92,,
91-20-3,naphthalene,c1ccc2ccccc2c1,,,3.56,,
132-64-9,dibenzofuran,c1ccc2c(c1)oc1ccccc12,,,3.79,,
132-65-0,dibenzothiophene,c1ccc2c(c1)sc1ccccc12,,,4.16,3.4,3.46
218-01-9,chrysene,c1ccc2c(c1)ccc1c3ccccc3ccc21,6.4,,4.46,4.53,4.41
205-99-2,benzo[b]fluoranthene,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,7.11,,4.42,,
191-24-2,benzo[ghi]perylene,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,7.78,,4.76,,
100-66-3,anisole,COc1ccccc1,,,2.16,,
1009-14-9,valerophenone,CCCCC(=O)c1ccccc1,,,2.7,1.74,1.75
119-61-9,benzophenone,O=C(c1ccccc1)c1ccccc1,,,2.62,2.01,1.99
131-16-8,di-n-propyl phthalate,CCCOC(=O)c1ccccc1C(=O)OCCC,,,2.84,,1.92
